RLBWXYH,class
[172  93  66  31  21   7   3   0],text
[22  4  2  2  4  6  5  4],text
[12 47 97 49 36  1  1  0],text
[ 7 64 68 44 34  1  0  1],text
[164 125  50  45  13  10   2   0],text
[196  99  70  42  15   4   2   1],text
[185  58  48  30  10  16   4   0],text
[201 103  86  39  18   4   2   0],text
[122  72  44  15  23   5   5   1],text
[94 78 61 19 29  2  2  2],text
[129  87  71  26  19   5   3   1],text
[33 78 65 89 20  0  2  0],text
[157  65  49  26  33   4   3   0],text
[146  98 104  38  15   3   3   0],text
[168 130  65  29  20   5   4   0],text
[277 111  58  43   9  15   0   0],text
[104  63  37   7  34   5   2   1],text
[126  82  86  59  24   2   0   0],text
[166 126  49  14  29   8   3   0],text
[140  78  41  20  34   3   1   1],text
[195  97  88  37  14   7   0   1],text
[253 108  72  35  29   3   0   0],text
[305 101  51  43   7  15   1   0],text
[197 210  65  36  20   3   1   0],text
[186 144  79  42  15   6   0   1],text
[ 23 139 109  67  19   0   0   0],text
[188 101  61  16  22   9   1   1],text
[223  70  49  35  17  17   0   0],text
[242 150  58  33  30   2   1   0],text
[188  70  49  27  19   6   4   0],text
[131 158  63  36  28   5   0   0],text
[218 102  94  41   9  13   0   0],text
[152 107  50  38  21   5   1   1],text
[150 128  74  49  21   3   2   0],text
[136  73  42  24  28   8   1   1],text
[175 128  64  42  12   9   1   0],text
[193 158  74  33   8   7   4   0],text
[169  89  58  35  21   6   3   0],text
[ 19 164 117  44  22   1   0   0],text
[154 131  56  39  17   4   3   1],text
[217 181  50  36  14   5   4   0],text
[93 24 15 25 24 12  3  1],non-text
[ 37 118 132  46  16   0   3   0],text
[39 11  2  5 16  8  6  2],non-text
[152 115  41  45  15   6   5   0],text
[112  30  39  18  19   8   7   0],text
[ 22  85 134  52  16   2   2   0],text
[181 154  63  38  23   1   3   0],text
[135  86  36  16  50   4   0   0],text
[74 19 16 20 20  7  4  3],non-text
[262 122  84  34   9  13   0   0],text
[189  93  51  42  25   4   3   0],text
[215 127  81  19  16   8   3   0],text
[122  65  30  21  25   3   4   1],text
[119  61  34  16  21   8   1   3],text
[132 101  54  29  20   6   2   1],text
[123  56  39  23  23  12   3   0],text
[166  86  51  18  28   3   0   3],text
[145  67  37  25  20  10   5   0],text
[ 88 117  33  21  31   7   1   1],text
[151  93  47  34  23   7   1   1],text
[179 118  59  32  20   8   3   0],text
[179 231  90  22  17   4   0   1],text
[129  80  58  24  24   6   3   1],text
[24 11  3  2 13  7  2  3],non-text
[134 104  39  46  15   6   2   1],text
[153  90  46  27  24   9   1   1],text
[206 174  48  43  12  11   1   0],text
[178  72  43  40  28   8   2   0],non-text
[144 135  57  42  19   4   4   0],text
[ 16 110 120  45  17   1   2   0],text
[209 146  71  42  15   7   2   0],text
[144  90  46  27  20   7   1   2],text
[199 101  82  27  21   8   1   0],text
[127 114  46  21  30   5   1   1],text
[178 123  69  29  22   1   1   2],text
[133  71  39  26  21   7   0   2],text
[133  97  43  31  23   6   0   2],text
[156 116  58  32  31   4   2   0],text
[151  81  38  43  27   3   4   0],text
[266  88  53  34  18  13   1   0],text
[149  80  43  36  18   5   2   2],text
[115 121  58  22  21   6   1   1],text
[115  68  39  41  25   6   2   1],text
[155  74  67  32  13   5   5   0],text
[178 131  49  18  24  10   1   0],text
[184 167  77  34  13   5   3   0],text
[275 136  75  38  15   7   1   0],text
[152 124  44  39  26   4   2   0],text
[  4  54 119  71  15   0   0   1],text
[167  99  49  38  29   5   2   0],text
[143  72  40  17  19   9   5   0],text
[297 140  85  41  15   7   0   0],text
[157 102  75  20  33   2   1   1],text
[190 123  51  46  22   4   3   0],text
[148 136  50  35  14   6   4   0],text
[ 21 108 118  36  21   1   1   1],text
[116  70  50  18  18   4   3   2],text
[16 40 41 61 44  0  0  1],text
[169 124  65  24  27   4   1   1],text
[255 198  55  19  10   9   3   0],text
[194  61  33  18  21  12   1   1],text
[161  80  57  30  23   6   4   0],non-text
[185 149  62  36  12   4   5   0],text
[153 153  51  21  30   4   1   1],text
[14 74 54 71 31  1  0  0],text
[331 181  93  45   8   7   0   0],text
[163  97  66  26  26   4   2   1],text
[190 134  97  17  16   4   2   1],text
[376 192  89  29   8   9   0   0],text
[145 109  76  34  25   6   2   0],text
[153  90  50  26  23   8   2   1],text
[199 137  57  31  18   6   3   0],text
[168 173  56  46  13   7   2   0],text
[166 100  76  35  24   4   2   0],text
[276 238  36  28  20   6   0   0],text
[136  57  38  20  29   7   3   1],non-text
[164 107  71  33  20   3   2   1],text
[282 125  83  30  12  10   1   0],text
[217 137  53  39  23   7   1   0],text
[163 148  51  37  19   4   3   0],text
[199 126  55  38  17   7   3   0],text
[108  29  54  13  21   6   5   1],text
[107  41  28  14  35   9   2   1],non-text
[ 18 201 127  45  12   0   2   0],text
[290  93  81  44  12  11   0   0],text
[183 122  55  33  27   6   1   0],text
